i,should_take,took,subject,session,rep
0,5.4781,5.4798664,s002,1,1
1,4.4147,4.4164593,s002,1,2
2,4.0471,4.048852,s002,1,3
3,4.7263,4.72788,s002,1,4
4,4.0207,4.0226366,s002,1,5
5,3.795,3.7971819,s002,1,6
6,3.6299,3.6313145000000002,s002,1,7
7,3.3791,3.3807183,s002,1,8
8,3.1841,3.1856376,s002,1,9
9,3.2518000000000002,3.2540168,s002,1,10
10,3.2824,3.2844269,s002,1,11
11,3.4634,3.4648306,s002,1,12
12,3.6159,3.6173024,s002,1,13
13,3.9405,3.9422125,s002,1,14
14,5.4164,5.4184254,s002,1,15
15,2.9625,2.9644192,s002,1,16
16,3.3079,3.3095306,s002,1,17
17,3.2302,3.2321395,s002,1,18
18,3.4553,3.4571551,s002,1,19
19,3.7083,3.7103213999999998,s002,1,20
20,2.999,3.0006342,s002,1,21
21,2.9375999999999998,2.9393186,s002,1,22
22,3.2241,3.2258314,s002,1,23
23,3.3045999999999998,3.3060287,s002,1,24
24,3.6704,3.6724167,s002,1,25
25,4.1011,4.1029359,s002,1,26
26,3.4095,3.4112935,s002,1,27
27,3.1192,3.1212587,s002,1,28
28,3.5225999999999997,3.5245427,s002,1,29
29,2.8865,2.8881501,s002,1,30
30,3.1145,3.1161677,s002,1,31
31,3.4509,3.4526394,s002,1,32
32,2.9564,2.9581741,s002,1,33
33,3.7405,3.7424287,s002,1,34
34,2.9643,2.9662135,s002,1,35
35,3.5174,3.5191322,s002,1,36
36,3.6165000000000003,3.6185026000000002,s002,1,37
37,3.225,3.2265815,s002,1,38
38,2.7035,2.7049238,s002,1,39
39,3.326,3.3275599,s002,1,40
40,2.8144,2.816053,s002,1,41
41,3.0474,3.0492188,s002,1,42
42,2.801,2.8027999,s002,1,43
43,4.0827,4.0845011,s002,1,44
44,3.5849,3.5864173,s002,1,45
45,3.0045,3.0062081,s002,1,46
46,3.8932,3.894959,s002,1,47
47,3.1235,3.1251468,s002,1,48
48,2.8405,2.8425116,s002,1,49
49,3.88,3.8814640000000002,s002,1,50
50,4.3803,4.3820125,s002,2,1
51,2.8244,2.8257465,s002,2,2
52,3.1145,3.1162694,s002,2,3
53,2.9497,2.9515741,s002,2,4
54,2.3318,2.3333071,s002,2,5
55,2.751,2.7525755,s002,2,6
56,2.5894,2.5910275,s002,2,7
57,2.8975,2.8992129,s002,2,8
58,2.6456,2.6475949,s002,2,9
59,3.339,3.3408207,s002,2,10
60,3.0126,3.0142459,s002,2,11
61,2.884,2.8858708,s002,2,12
62,3.0192,3.0208425,s002,2,13
63,3.5644,3.5658739,s002,2,14
64,2.7808,2.7822588,s002,2,15
65,2.7401,2.7416021,s002,2,16
66,2.8709,2.8727025,s002,2,17
67,3.3793,3.3809391,s002,2,18
68,3.1707,3.1723944,s002,2,19
69,2.7822,2.7839953,s002,2,20
70,2.5728,2.5742169,s002,2,21
71,2.307,2.308392,s002,2,22
72,2.7366,2.738706,s002,2,23
